,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,2,65.0,8450,Pave,,1,1,AllPub,1,1,CollgCr,Norm,Norm,1,2,7,5,2003,2003,1,1,1,1,2,196,1,2,1,1,2,1,1,706,3,0,150,856,1,3,1,1,856,854,0,1710,1,0,2,1,3,1,1,8,1,0,5,1,2003,1,2,548,2,2,1,0,61,0,0,0,0,,,,0,2,2008,1,Normal,208500
1,2,20,2,80.0,9600,Pave,,1,1,AllPub,2,1,Veenker,Feedr,Norm,1,1,6,8,1976,1976,1,1,2,2,1,0,2,2,2,1,2,2,2,978,3,0,284,1262,1,3,1,1,1262,0,0,1262,0,1,2,0,3,1,2,6,1,1,2,1,1976,1,2,460,2,2,1,298,0,0,0,0,0,,,,0,5,2007,1,Normal,181500
2,3,60,2,68.0,11250,Pave,,2,1,AllPub,1,1,CollgCr,Norm,Norm,1,2,7,5,2001,2002,1,1,1,1,2,162,1,2,1,1,2,3,1,486,3,0,434,920,1,3,1,1,920,866,0,1786,1,0,2,1,3,1,1,6,1,1,2,1,2001,1,2,608,2,2,1,0,42,0,0,0,0,,,,0,9,2008,1,Normal,223500
3,4,70,2,60.0,9550,Pave,,2,1,AllPub,3,1,Crawfor,Norm,Norm,1,2,7,5,1915,1970,1,1,3,5,1,0,2,2,3,2,1,1,2,216,3,0,540,756,1,1,1,1,961,756,0,1717,1,0,1,0,3,1,1,7,1,1,1,2,1998,2,3,642,2,2,1,0,35,272,0,0,0,,,,0,2,2006,1,Abnorml,140000
4,5,60,2,84.0,14260,Pave,,2,1,AllPub,2,1,NoRidge,Norm,Norm,1,2,8,5,2000,2000,1,1,1,1,2,350,1,2,1,1,2,4,1,655,3,0,490,1145,1,3,1,1,1145,1053,0,2198,1,0,2,1,4,1,1,9,1,1,2,1,2000,1,3,836,2,2,1,192,84,0,0,0,0,,,,0,12,2008,1,Normal,250000
5,6,50,2,85.0,14115,Pave,,2,1,AllPub,1,1,Mitchel,Norm,Norm,1,4,5,5,1993,1995,1,1,1,1,1,0,2,2,4,1,2,1,1,732,3,0,64,796,1,3,1,1,796,566,0,1362,1,0,1,1,1,1,2,5,1,0,5,1,1993,2,2,480,2,2,1,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,1,Normal,143000
6,7,20,2,75.0,10084,Pave,,1,1,AllPub,1,1,Somerst,Norm,Norm,1,1,8,5,2004,2005,1,1,1,1,3,186,1,2,1,3,2,4,1,1369,3,0,317,1686,1,3,1,1,1694,0,0,1694,1,0,2,0,3,1,1,7,1,1,1,1,2004,1,2,636,2,2,1,255,57,0,0,0,0,,,,0,8,2007,1,Normal,307000
7,8,60,2,,10382,Pave,,2,1,AllPub,3,1,NWAmes,PosN,Norm,1,2,7,6,1973,1973,1,1,4,4,3,240,2,2,2,1,2,3,2,859,7,32,216,1107,1,3,1,1,1107,983,0,2090,1,0,2,1,3,1,2,7,1,2,2,1,1973,1,2,484,2,2,1,235,204,228,0,0,0,,,Shed,350,11,2009,1,Normal,200000
8,9,50,1,51.0,6120,Pave,,1,1,AllPub,1,1,OldTown,Artery,Norm,1,4,7,5,1931,1950,1,1,8,5,1,0,2,2,3,2,2,1,3,0,3,0,952,952,1,1,1,2,1022,752,0,1774,0,0,2,0,2,2,2,8,2,2,2,2,1931,2,2,468,4,2,1,90,0,205,0,0,0,,,,0,4,2008,1,Abnorml,129900
9,10,190,2,50.0,7420,Pave,,1,1,AllPub,3,1,BrkSide,Artery,Artery,2,5,5,6,1939,1950,1,1,2,2,1,0,2,2,3,2,2,1,1,851,3,0,140,991,1,3,1,1,1077,0,0,1077,1,0,1,0,2,2,2,5,1,2,2,1,1939,1,1,205,1,2,1,0,4,0,0,0,0,,,,0,1,2008,1,Normal,118000
10,11,20,2,70.0,11200,Pave,,1,1,AllPub,1,1,Sawyer,Norm,Norm,1,1,5,5,1965,1965,2,1,4,4,1,0,2,2,2,2,2,1,4,906,3,0,134,1040,1,3,1,1,1040,0,0,1040,1,0,1,0,3,1,2,5,1,0,5,2,1965,2,1,384,2,2,1,0,0,0,0,0,0,,,,0,2,2008,1,Normal,129500
11,12,60,2,85.0,11924,Pave,,2,1,AllPub,1,1,NridgHt,Norm,Norm,1,2,9,5,2005,2006,2,1,5,5,3,286,3,2,1,3,2,1,1,998,3,0,177,1175,1,3,1,1,1182,1142,0,2324,1,0,3,0,4,1,3,11,1,2,1,3,2005,3,3,736,2,2,1,147,21,0,0,0,0,,,,0,7,2006,2,Partial,345000
12,13,20,2,,12968,Pave,,3,1,AllPub,1,1,Sawyer,Norm,Norm,1,1,5,6,1962,1962,2,1,4,7,1,0,2,2,2,2,2,1,2,737,3,0,175,912,1,2,1,1,912,0,0,912,1,0,1,0,2,1,2,4,1,0,5,2,1962,2,1,352,2,2,1,140,0,0,0,176,0,,,,0,9,2008,1,Normal,144000
13,14,20,2,91.0,10652,Pave,,2,1,AllPub,1,1,CollgCr,Norm,Norm,1,1,7,5,2006,2007,1,1,1,1,3,306,1,2,1,1,2,4,3,0,3,0,1494,1494,1,3,1,1,1494,0,0,1494,0,0,2,0,3,1,1,7,1,1,1,1,2006,1,3,840,2,2,1,160,33,0,0,0,0,,,,0,8,2007,2,Partial,279500
14,15,20,2,,10920,Pave,,2,1,AllPub,3,1,NAmes,Norm,Norm,1,1,6,5,1960,1960,2,1,2,2,2,212,2,2,2,2,2,1,7,733,3,0,520,1253,1,2,1,1,1253,0,0,1253,1,0,1,1,2,1,2,5,1,1,Fa,1,1960,1,1,352,2,2,1,0,213,176,0,0,0,,GdWo,,0,5,2008,1,Normal,157000
15,16,45,1,51.0,6120,Pave,,1,1,AllPub,3,1,BrkSide,Norm,Norm,1,5,7,8,1929,2001,1,1,3,3,1,0,2,2,3,2,2,1,3,0,3,0,832,832,1,3,1,3,854,0,0,854,0,0,1,0,2,1,2,5,1,0,5,2,1991,2,2,576,2,2,1,48,112,0,0,0,0,,GdPrv,,0,7,2007,1,Normal,132000
16,17,20,2,,11241,Pave,,2,1,AllPub,4,1,NAmes,Norm,Norm,1,1,6,7,1970,1970,1,1,3,3,2,180,2,2,2,2,2,1,2,578,3,0,426,1004,1,3,1,1,1004,0,0,1004,1,0,1,0,2,1,2,5,1,1,2,1,1970,3,2,480,2,2,1,0,0,0,0,0,0,,,Shed,700,3,2010,1,Normal,149000
17,18,90,2,72.0,10791,Pave,,1,1,AllPub,1,1,Sawyer,Norm,Norm,3,1,4,5,1967,1967,1,1,2,2,1,0,2,2,5,5,5,5,5,0,5,0,0,0,1,2,1,1,1296,0,0,1296,0,0,2,0,2,2,2,6,1,0,5,4,1967,2,2,516,2,2,1,0,0,0,0,0,0,,,Shed,500,10,2006,1,Normal,90000
18,19,20,2,66.0,13695,Pave,,1,1,AllPub,1,1,SawyerW,RRAe,Norm,1,1,5,5,2004,2004,1,1,1,1,1,0,2,2,1,2,2,1,1,646,3,0,468,1114,1,3,1,1,1114,0,0,1114,1,0,1,1,3,1,1,6,1,0,5,2,2004,2,2,576,2,2,1,0,102,0,0,0,0,,,,0,6,2008,1,Normal,159000
19,20,20,2,70.0,7560,Pave,,1,1,AllPub,1,1,NAmes,Norm,Norm,1,1,5,6,1958,1965,2,1,8,7,1,0,2,2,2,2,2,1,6,504,3,0,525,1029,1,2,1,1,1339,0,0,1339,0,0,1,0,3,1,2,6,2,0,5,1,1958,2,1,294,2,2,1,0,0,0,0,0,0,,MnPrv,,0,5,2009,3,Abnorml,139000
20,21,60,2,101.0,14215,Pave,,2,1,AllPub,3,1,NridgHt,Norm,Norm,1,2,8,5,2005,2006,1,1,1,1,2,380,1,2,1,3,2,4,3,0,3,0,1158,1158,1,3,1,1,1158,1218,0,2376,0,0,3,1,4,1,1,9,1,1,1,3,2005,1,3,853,2,2,1,240,154,0,0,0,0,,,,0,11,2006,2,Partial,325300
21,22,45,1,57.0,7449,Pave,Grvl,1,2,AllPub,1,1,IDOTRR,Norm,Norm,1,5,7,7,1930,1950,1,1,3,3,1,0,2,2,1,2,2,1,3,0,3,0,637,637,1,3,1,2,1108,0,0,1108,0,0,1,0,3,1,1,6,1,1,1,1,1930,2,1,280,2,2,2,0,0,205,0,0,0,,GdPrv,,0,6,2007,1,Normal,139400
22,23,20,2,75.0,9742,Pave,,1,1,AllPub,1,1,CollgCr,Norm,Norm,1,1,8,5,2002,2002,2,1,1,1,2,281,1,2,1,1,2,1,3,0,3,0,1777,1777,1,3,1,1,1795,0,0,1795,0,0,2,0,3,1,1,7,1,1,1,1,2002,1,2,534,2,2,1,171,159,0,0,0,0,,,,0,9,2008,1,Normal,230000
23,24,120,1,44.0,4224,Pave,,1,1,AllPub,1,1,MeadowV,Norm,Norm,4,1,5,7,1976,1976,1,1,6,6,1,0,2,2,1,1,2,1,1,840,3,0,200,1040,1,2,1,1,1060,0,0,1060,1,0,1,0,3,1,2,6,1,1,2,1,1976,2,2,572,2,2,1,100,110,0,0,0,0,,,,0,6,2007,1,Normal,129900
24,25,20,2,,8246,Pave,,2,1,AllPub,1,1,Sawyer,Norm,Norm,1,1,5,8,1968,2001,1,1,7,7,1,0,2,1,2,2,2,3,4,188,2,668,204,1060,1,3,1,1,1060,0,0,1060,1,0,1,0,3,1,1,6,1,1,2,1,1968,2,1,270,2,2,1,406,90,0,0,0,0,,MnPrv,,0,5,2010,1,Normal,154000
25,26,20,2,110.0,14230,Pave,,1,1,AllPub,3,1,NridgHt,Norm,Norm,1,1,8,5,2007,2007,1,1,1,1,3,640,1,2,1,1,2,1,3,0,3,0,1566,1566,1,3,1,1,1600,0,0,1600,0,0,2,0,3,1,1,7,1,1,1,1,2007,1,3,890,2,2,1,0,56,0,0,0,0,,,,0,7,2009,1,Normal,256300
26,27,20,2,60.0,7200,Pave,,1,1,AllPub,3,1,NAmes,Norm,Norm,1,1,5,7,1951,2000,1,1,3,3,1,0,2,2,2,2,2,3,7,234,4,486,180,900,1,2,1,1,900,0,0,900,0,1,1,0,3,1,1,5,1,0,5,2,2005,2,2,576,2,2,1,222,32,0,0,0,0,,,,0,5,2010,1,Normal,134800
27,28,20,2,98.0,11478,Pave,,1,1,AllPub,1,1,NridgHt,Norm,Norm,1,1,8,5,2007,2008,1,1,1,1,3,200,1,2,1,3,2,1,1,1218,3,0,486,1704,1,3,1,1,1704,0,0,1704,1,0,2,0,3,1,1,7,1,1,1,1,2008,1,3,772,2,2,1,0,50,0,0,0,0,,,,0,5,2010,1,Normal,306000
28,29,20,2,47.0,16321,Pave,,2,1,AllPub,4,1,NAmes,Norm,Norm,1,1,5,6,1957,1997,1,1,2,2,1,0,2,2,2,2,2,2,7,1277,3,0,207,1484,1,2,1,1,1600,0,0,1600,1,0,1,0,2,1,2,6,1,2,1,1,1957,1,1,319,2,2,1,288,258,0,0,0,0,,,,0,12,2006,1,Normal,207500
29,30,30,1,60.0,6324,Pave,,2,1,AllPub,1,1,BrkSide,Feedr,RRNn,1,1,4,6,1927,1950,1,1,2,2,1,0,2,2,3,2,2,1,3,0,3,0,520,520,1,4,2,1,520,0,0,520,0,0,1,0,1,1,4,4,1,0,5,2,1920,2,1,240,4,2,1,49,0,87,0,0,0,,,,0,5,2008,1,Normal,68500
30,31,70,4,50.0,8500,Pave,Pave,1,1,AllPub,1,1,IDOTRR,Feedr,Norm,1,2,4,4,1920,1950,3,1,8,8,1,0,2,4,3,2,2,1,3,0,3,0,649,649,1,2,2,1,649,668,0,1317,0,0,1,0,3,1,2,6,1,0,5,2,1920,2,1,250,2,4,2,0,54,172,0,0,0,,MnPrv,,0,7,2008,1,Normal,40000
31,32,20,2,,8544,Pave,,2,1,AllPub,4,1,Sawyer,Norm,Norm,1,1,5,6,1966,2006,1,1,4,4,1,0,2,2,2,2,2,1,3,0,3,0,1228,1228,1,1,1,1,1228,0,0,1228,0,0,1,1,3,1,1,6,1,0,5,1,1966,2,1,271,2,2,1,0,65,0,0,0,0,,MnPrv,,0,6,2008,1,Normal,149350
32,33,20,2,85.0,11049,Pave,,1,1,AllPub,3,1,CollgCr,Norm,Norm,1,1,8,5,2007,2007,1,1,1,1,1,0,1,2,1,3,2,4,3,0,3,0,1234,1234,1,3,1,1,1234,0,0,1234,0,0,2,0,3,1,1,7,1,0,5,1,2007,1,2,484,2,2,1,0,30,0,0,0,0,,,,0,1,2008,1,Normal,179900
33,34,20,2,70.0,10552,Pave,,2,1,AllPub,1,1,NAmes,Norm,Norm,1,1,5,5,1959,1959,2,1,8,8,1,0,2,2,2,2,2,1,4,1018,3,0,380,1398,1,1,1,1,1700,0,0,1700,0,1,1,1,4,1,1,6,1,1,1,1,1959,1,2,447,2,2,1,0,38,0,0,0,0,,,,0,4,2010,1,Normal,165500
34,35,120,2,60.0,7313,Pave,,1,1,AllPub,1,1,NridgHt,Norm,Norm,4,1,9,5,2005,2005,2,1,2,2,2,246,3,2,1,3,2,1,1,1153,3,0,408,1561,1,3,1,1,1561,0,0,1561,1,0,2,0,2,1,3,6,1,1,1,1,2005,3,2,556,2,2,1,203,47,0,0,0,0,,,,0,8,2007,1,Normal,277500
35,36,60,2,108.0,13418,Pave,,1,1,AllPub,1,1,NridgHt,Norm,Norm,1,2,8,5,2004,2005,1,1,1,1,3,132,1,2,1,3,2,4,3,0,3,0,1117,1117,1,3,1,1,1132,1320,0,2452,0,0,3,1,4,1,1,9,1,1,1,3,2004,3,3,691,2,2,1,113,32,0,0,0,0,,,,0,9,2006,1,Normal,309000
36,37,20,2,112.0,10859,Pave,,1,1,AllPub,3,1,CollgCr,Norm,Norm,1,1,5,5,1994,1995,1,1,1,1,1,0,2,2,1,1,2,1,3,0,3,0,1097,1097,1,3,1,1,1097,0,0,1097,0,0,1,1,3,1,2,6,1,0,5,1,1995,2,2,672,2,2,1,392,64,0,0,0,0,,,,0,6,2009,1,Normal,145000
37,38,20,2,74.0,8532,Pave,,1,1,AllPub,1,1,NAmes,Norm,Norm,1,1,5,6,1954,1990,2,1,3,3,2,650,2,2,2,2,2,1,4,1213,3,0,84,1297,1,1,1,1,1297,0,0,1297,0,1,1,0,3,1,2,5,1,1,2,1,1954,3,2,498,2,2,1,0,0,0,0,0,0,,,,0,10,2009,1,Normal,153000
38,39,20,2,68.0,7922,Pave,,1,1,AllPub,1,1,NAmes,Norm,Norm,1,1,5,7,1953,2007,1,1,1,1,1,0,2,1,2,2,2,1,1,731,3,0,326,1057,1,2,1,1,1057,0,0,1057,1,0,1,0,3,1,1,5,1,0,5,2,1953,2,1,246,2,2,1,0,52,0,0,0,0,,,,0,1,2010,1,Abnorml,109000
39,40,90,2,65.0,6040,Pave,,1,1,AllPub,1,1,Edwards,Norm,Norm,3,1,4,5,1955,1955,1,1,9,7,1,0,2,2,1,5,5,5,5,0,5,0,0,0,1,2,2,4,1152,0,0,1152,0,0,2,0,2,2,4,6,1,0,5,5,0,4,0,0,5,5,2,0,0,0,0,0,0,,,,0,6,2008,1,AdjLand,82000
40,41,20,2,84.0,8658,Pave,,1,1,AllPub,1,1,NAmes,Norm,Norm,1,1,6,5,1965,1965,1,1,3,3,2,101,2,2,2,2,2,1,4,643,3,0,445,1088,1,3,1,1,1324,0,0,1324,0,0,2,0,3,1,2,6,1,1,2,1,1965,1,2,440,2,2,1,0,138,0,0,0,0,,GdWo,,0,12,2006,1,Abnorml,160000
